[rosmaster.main][INFO] 2020-03-02 17:47:52,989: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2020-03-02 17:47:52,990: Starting ROS Master Node
[xmlrpc][INFO] 2020-03-02 17:47:52,990: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2020-03-02 17:47:52,991: Started XML-RPC server [http://169.254.1.3:11311/]
[rosmaster.master][INFO] 2020-03-02 17:47:52,991: Master initialized: port[11311], uri[http://169.254.1.3:11311/]
[xmlrpc][INFO] 2020-03-02 17:47:52,991: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2020-03-02 17:47:53,043: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,043: +PARAM [/roslaunch/uris/host_169_254_1_3__45081] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,095: +PARAM [/rover_ns/joint_limits/rocker_left_corner_lb/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,096: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,096: +PARAM [/rover_ns/joint_limits/corner_rb_wheel_rb/has_position_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,096: +PARAM [/rover_ns/joint_limits/body_rocker_left/max_jerk] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,096: +PARAM [/rover_ns/joint_limits/body_arm_shoulder_1/has_effort_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/corner_lb_wheel_lb_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/joint_limits/bogie_right_wheel_rm/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/joint_limits/corner_rf_wheel_rf/has_effort_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/joint_limits/bogie_left_corner_lf/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/joint_limits/rocker_left_bogie_left/max_jerk] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/arm_shoulder_2_arm_elbow_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/corner_rb_wheel_rb_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/joint_limits/rocker_right_corner_rb/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/joint_limits/arm_shoulder_1_arm_shoulder_2/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/joint_limits/bogie_right_wheel_rm/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/joint_limits/bogie_left_wheel_lm/has_jerk_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/body_arm_shoulder_1_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/joint_limits/arm_shoulder_2_arm_elbow/max_jerk] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/joint_limits/body_arm_shoulder_1/max_jerk] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/arm_shoulder_1_arm_shoulder_2_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/joint_limits/body_rocker_right/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,097: +PARAM [/rover_ns/joint_limits/arm_shoulder_2_arm_elbow/has_position_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,098: +SERVICE [/rosout/get_loggers] /rosout http://169.254.1.3:37691/
[rosmaster.master][INFO] 2020-03-02 17:47:53,098: +PARAM [/rover_ns/joint_limits/corner_lf_wheel_lf/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,098: +SERVICE [/rosout/set_logger_level] /rosout http://169.254.1.3:37691/
[rosmaster.master][INFO] 2020-03-02 17:47:53,098: +PARAM [/rover_ns/joint_limits/rocker_right_corner_rb/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,099: +PARAM [/rover_ns/joint_limits/bogie_left_wheel_lm/max_effort] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,099: +PARAM [/rover_ns/joint_limits/rocker_right_bogie_right/max_jerk] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,100: +PARAM [/rover_ns/joint_limits/arm_shoulder_1_arm_shoulder_2/has_effort_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,100: +PARAM [/rover_ns/arm_shoulder_2_arm_elbow_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,100: +SUB [/clock] /rosout http://169.254.1.3:37691/
[rosmaster.master][INFO] 2020-03-02 17:47:53,101: +PARAM [/rover_ns/joint_limits/corner_lb_wheel_lb/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,101: +PARAM [/rover_ns/rocker_left_corner_lb_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,101: +PARAM [/rover_ns/arm_shoulder_2_arm_elbow_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,101: +PARAM [/rover_ns/bogie_right_corner_rf_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,102: +PARAM [/rover_ns/joint_limits/arm_shoulder_1_arm_shoulder_2/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,102: +PARAM [/rover_ns/arm_shoulder_2_arm_elbow_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,102: +PARAM [/rover_ns/joint_limits/arm_shoulder_2_arm_elbow/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,102: +PARAM [/rover_ns/joint_limits/rocker_left_bogie_left/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,102: +PARAM [/rover_ns/rocker_right_bogie_right_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,102: +PARAM [/rover_ns/joint_limits/bogie_left_wheel_lm/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,102: +PARAM [/rover_ns/joint_limits/corner_lb_wheel_lb/max_jerk] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,102: +PARAM [/rover_ns/joint_limits/bogie_right_wheel_rm/max_effort] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,102: +PARAM [/rover_ns/joint_limits/rocker_left_bogie_left/has_effort_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,102: +PARAM [/rover_ns/bogie_right_corner_rf_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,102: +PUB [/rosout_agg] /rosout http://169.254.1.3:37691/
[rosmaster.master][INFO] 2020-03-02 17:47:53,102: +PARAM [/rover_ns/joint_limits/rocker_right_bogie_right/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,103: +PARAM [/rover_ns/corner_lb_wheel_lb_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,103: +PARAM [/rover_ns/rocker_right_corner_rb_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,104: +PARAM [/rover_ns/joint_limits/body_rocker_right/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,104: +PARAM [/rover_ns/rocker_left_bogie_left_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,104: +SUB [/rosout] /rosout http://169.254.1.3:37691/
[rosmaster.master][INFO] 2020-03-02 17:47:53,104: +PARAM [/rover_ns/joint_limits/body_rocker_left/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,105: +PARAM [/rover_ns/bogie_left_corner_lf_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,105: +PARAM [/rover_ns/joint_limits/corner_lb_wheel_lb/has_jerk_limits] by /roslaunch
[rosmaster.master][INFO] 2020-03-02 17:47:53,105: +PARAM [/rover_ns/joint_limits/rocker_left_corner_lb/max_velocity] by /roslaunch
